2017.326027
   Z       E         F
   8  3.446E+02  3.709E-04
   8  3.963E+02  2.586E-04
   8  4.557E+02  1.800E-04
   8  5.240E+02  1.250E-04
   8  6.024E+02  8.676E-05
   8  6.926E+02  6.009E-05
   8  7.963E+02  4.159E-05
   8  9.155E+02  2.875E-05
   8  1.053E+03  1.985E-05
   8  1.210E+03  1.369E-05
   8  1.392E+03  9.441E-06
   8  1.600E+03  6.504E-06
   8  1.840E+03  4.476E-06
   8  2.115E+03  3.082E-06
   8  2.432E+03  2.121E-06
   8  2.797E+03  1.458E-06
   8  3.214E+03  1.003E-06
   8  3.696E+03  6.894E-07
   8  4.250E+03  4.737E-07
   8  4.886E+03  3.254E-07
   8  5.618E+03  2.236E-07
   8  6.459E+03  1.535E-07
   8  7.427E+03  1.054E-07
   8  8.539E+03  7.238E-08
   8  9.818E+03  4.969E-08
   8  1.129E+04  3.411E-08
   8  1.298E+04  2.342E-08
   8  1.492E+04  1.607E-08
   8  1.715E+04  1.104E-08
   8  1.973E+04  7.569E-09
   8  2.267E+04  5.201E-09
   8  2.608E+04  3.564E-09
   8  2.998E+04  2.446E-09
   8  3.446E+04  1.680E-09
   8  3.963E+04  1.152E-09
   8  4.557E+04  7.906E-10
   8  5.240E+04  5.422E-10
   8  6.024E+04  3.722E-10
   8  6.926E+04  2.553E-10
   8  7.963E+04  1.752E-10
   8  9.155E+04  1.202E-10
   8  1.053E+05  8.249E-11
   8  1.210E+05  5.658E-11
   8  1.392E+05  3.883E-11
   8  1.600E+05  2.664E-11
   9  1.900E-01  3.903E-03
   9  2.185E-01  4.397E-03
   9  2.512E-01  4.939E-03
   9  2.888E-01  5.531E-03
   9  3.321E-01  6.174E-03
   9  3.817E-01  6.864E-03
   9  4.389E-01  7.603E-03
   9  5.046E-01  8.383E-03
   9  5.803E-01  9.199E-03
   9  6.671E-01  1.004E-02
   9  7.670E-01  1.090E-02
   9  8.820E-01  1.176E-02
   9  1.014E+00  1.260E-02
   9  1.166E+00  1.341E-02
   9  1.340E+00  1.416E-02
   9  1.541E+00  1.484E-02
   9  1.772E+00  1.543E-02
   9  2.037E+00  1.590E-02
   9  2.343E+00  1.623E-02
